CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,800","2,315.30","2,531.05","1,000","17,350.00","5,19,100",0.45,0.50,"2,650",-0.50,0.50,35.38,"1,05,040","41,304","42,016",
,-,-,-,-,-,-,"1,800","2,267.60","2,467.50","1,800","17,400.00","9,600",0.50,0.55,"25,800",-0.55,0.55,34.98,"16,488","5,863","6,472",
,-,-,-,-,-,-,"1,800","2,225.15","2,416.85","1,000","17,450.00","3,000",0.50,0.55,"20,800",-0.65,0.50,33.95,"11,094","2,844","2,975",
,1,-,-,-,"2,300.00",-,200,"2,172.60","2,365.75","1,000","17,500.00","1,88,900",0.50,0.55,"1,41,800",-0.45,0.55,33.54,"43,691","5,877","11,281",
,-,-,-,-,-,-,"1,800","2,121.80","2,315.40","1,000","17,550.00","19,650",0.50,0.55,"1,800",-0.65,0.50,32.53,"3,938","1,038","1,151",
,-,-,-,-,-,-,"1,800","2,079.30","2,264.85","1,000","17,600.00","1,76,850",0.50,0.60,"36,350",-0.70,0.50,31.82,"22,103","6,209","6,490",
,-,-,-,-,-,-,"1,800","2,074.70","2,228.80","1,000","17,650.00","1,900",0.55,3.50,500,-0.45,0.70,32.14,"4,428","1,160","1,257",
,-,-,-,-,-,-,"1,800","1,984.55","2,164.55","1,000","17,700.00","9,000",0.60,0.65,"23,750",-0.80,0.65,31.18,"13,682","5,934","6,039",
,1,-,-,-,"1,915.00",-,"1,500","1,939.00","2,119.00","1,000","17,750.00","26,100",0.60,0.80,700,-0.80,0.60,30.22,"6,717","2,095","2,200",
,6,-,-,-,"2,075.00",-,"1,500","1,889.90","2,063.65","1,500","17,800.00","19,500",0.70,0.80,"1,950",-0.65,0.70,29.95,"8,924","2,130","3,148",
,2,-,-,-,"2,050.00",-,"1,800","1,795.75","2,055.75","1,750","17,850.00","12,500",0.70,1.20,100,-0.80,0.70,29.22,"5,820","1,834","1,998",
,-,-,-,-,-,-,"1,800","1,722.60","2,004.90","1,000","17,900.00","9,350",0.85,1.05,"4,450",-0.65,0.85,29.07,"21,389",737,"7,933",
,-,-,-,-,-,-,"1,800","1,789.85","1,951.20","1,000","17,950.00","33,900",0.85,1.20,50,-0.75,0.85,28.33,"5,345","1,735","1,851",
,105,-,-,-,"1,815.00",19.70,200,"1,747.65","1,814.80",200,"18,000.00","43,600",0.95,1.00,"4,600",-0.60,1.00,28.08,"1,37,096","-11,607","60,706",
,-,-,-,-,"1,330.00",-,"1,800","1,603.35","1,847.25","1,000","18,050.00","44,050",0.95,1.10,950,-0.50,1.10,27.61,"6,790","1,486","1,605",
,-,-,-,-,-,-,"1,000","1,408.05","1,796.75","1,000","18,100.00","1,800",1.00,1.15,"1,800",-0.40,1.20,27.12,"28,369",932,"9,477",
,1,-,-,-,"1,527.00",-,"1,800","1,505.15","1,745.00","1,000","18,150.00","21,400",1.00,1.10,"1,050",-0.50,1.10,26.11,"5,975","1,254","1,524",
,-,-1,1,51.26,"1,624.00",364.00,"1,800","1,535.15","1,622.05","3,600","18,200.00",500,1.15,1.20,"3,500",-0.55,1.20,25.60,"35,453",-592,"9,768",
,-,-,-,-,-,-,"1,750","1,345.80","1,643.40","1,000","18,250.00","7,650",1.10,2.00,400,0.10,1.90,26.24,"10,058","1,280","1,592",
,-,-,-,-,-,-,"1,800","1,370.80","1,522.85","3,600","18,300.00","70,400",1.15,1.25,"13,600",-0.50,1.25,24.19,"34,235","2,433","9,365",
,-,-,-,-,-,-,"1,750","1,242.95","1,473.05","3,600","18,350.00","5,400",1.10,2.00,50,-0.80,1.05,22.97,"16,309","1,265","1,822",
,131,-,-,-,"1,079.15",-,450,"1,362.05","1,396.10",200,"18,400.00","72,300",1.25,1.60,50,-0.60,1.25,22.67,"41,203","4,533","8,266",
,-,-,-,-,-,-,"1,800","1,214.75","1,372.25","1,800","18,450.00","56,500",1.30,6.70,"9,000",-0.60,1.30,22.00,"18,249","1,875","2,205",
,51,2,2,44.75,"1,329.90",20.90,"1,000","1,251.80","1,285.20","1,000","18,500.00",800,1.40,1.45,"1,250",-0.55,1.45,21.52,"2,46,289","7,228","53,317",
,1,-,-,-,"1,287.00",-,"1,750","1,091.20","1,273.25","3,600","18,550.00",100,1.40,1.55,"14,450",-0.60,1.45,20.74,"30,561","2,491","3,417",
,73,-1,9,38.33,"1,211.40",25.20,50,"1,169.05","1,190.90",100,"18,600.00","2,050",1.50,1.55,"3,500",-0.60,1.50,20.05,"1,05,096","8,719","22,609",
,3,-,-,-,"1,125.00",-,"1,800","1,009.20","1,167.45","1,800","18,650.00","2,21,650",1.40,2.65,450,-0.60,1.45,19.19,"62,210","4,940","11,131",
,72,-,6,30.57,"1,089.35",0.95,600,"1,060.55","1,104.00",450,"18,700.00","3,300",1.60,2.05,900,-0.25,2.05,19.25,"1,88,913","12,706","36,101",
,30,11,12,24.72,"1,024.80",-18.55,150,"1,020.25","1,051.15","1,050","18,750.00",300,1.90,2.35,900,-0.45,1.90,18.26,"67,589","8,321","11,943",
,268,42,165,26.53,983.20,-11.90,200,968.65,977.30,150,"18,800.00",100,2.00,2.70,"3,250",-0.45,1.95,17.51,"2,03,105","19,433","41,263",
,34,8,9,22.69,924.95,-96.25,300,920.40,940.90,100,"18,850.00",100,2.35,2.80,"1,000",-0.30,2.30,17.09,"66,243","2,264","5,783",
,207,4,166,23.93,881.95,-45.25,200,866.10,877.75,150,"18,900.00",100,2.60,3.15,650,-0.30,2.55,16.51,"1,84,954","8,736","33,829",
,211,4,99,21.39,827.30,-30.55,450,821.20,835.25,250,"18,950.00",100,2.65,4.10,50,-0.35,2.75,15.84,"78,313","6,595","11,917",
,"1,423",11,"2,131",19.69,775.40,-27.85,200,771.25,775.40,200,"19,000.00","9,600",3.50,3.60,"1,200",0.15,3.60,15.64,"3,99,665","41,077","96,892",
,145,-12,94,21.71,736.50,-23.75,150,720.95,736.15,750,"19,050.00","1,000",3.70,4.00,900,-0.05,3.70,14.83,"1,01,511","5,858","9,759",
,461,-12,196,20.18,685.00,-25.95,150,673.30,677.80,150,"19,100.00",150,4.15,4.55,250,-0.05,4.10,14.18,"3,80,272","41,977","75,434",
,252,-1,273,18.53,633.00,-19.20,200,621.75,631.55,"1,100","19,150.00",100,4.25,5.10,400,0.35,5.10,13.80,"1,42,920","5,845","16,931",
,"2,251",31,779,14.84,573.65,-31.30,150,573.70,580.50,150,"19,200.00","1,850",4.75,5.10,50,-0.60,4.75,12.69,"4,14,722","30,055","70,063",
,279,-12,333,13.18,521.80,-37.40,300,524.30,531.60,100,"19,250.00",550,5.60,6.25,"1,750",-0.80,5.60,12.39,"2,15,656","12,989","26,236",
,"1,948",21,"3,740",13.47,476.50,-31.20,400,475.70,480.00,50,"19,300.00",50,6.40,7.15,50,-1.55,6.45,11.48,"3,82,573","1,425","52,771",
,589,-36,"1,152",11.80,424.40,-45.20,800,426.45,435.05,600,"19,350.00",100,7.35,7.75,350,-2.50,7.25,10.75,"2,95,668","10,835","26,984",
,"3,732",828,"10,323",11.46,377.70,-32.45,150,381.25,384.40,50,"19,400.00",300,9.40,9.60,50,-2.50,9.75,10.42,"7,00,321","15,737","72,111",
,"1,534",134,"3,652",11.87,336.15,-36.50,400,332.40,337.45,500,"19,450.00",50,12.30,12.75,50,-3.00,12.25,9.90,"5,39,304","2,528","29,405",
,"11,250",-901,"68,564",11.16,289.95,-32.00,"2,250",289.65,289.95,"5,300","19,500.00","2,400",16.95,17.25,50,-2.75,16.95,9.63,"10,80,325","39,136","98,519",
,"3,425",742,"29,313",10.48,245.00,-25.60,100,244.30,246.10,50,"19,550.00",50,23.50,23.95,50,-1.50,24.00,9.47,"7,71,367","14,622","41,743",
,"21,292","1,563","2,87,627",10.36,206.00,-31.05,"38,600",206.00,207.30,150,"19,600.00",150,32.50,33.30,300,-1.15,32.50,9.18,"16,13,820","13,793","94,016",
,"12,104","5,999","3,26,711",10.07,168.40,-24.15,200,167.25,169.45,50,"19,650.00",150,44.70,45.85,300,2.85,45.00,9.03,"12,91,010","30,683","61,818",
,"68,334","23,743","14,07,039",9.89,135.00,-23.75,50,134.10,135.00,"3,700","19,700.00","2,600",61.80,62.60,300,3.90,62.00,8.98,"28,63,402","11,250","98,809",
,"45,849","25,753","17,41,495",9.85,106.70,-19.50,250,104.90,106.65,100,"19,750.00",50,82.15,83.65,100,10.00,83.65,8.98,"25,26,746","24,895","52,265",
,"1,51,548","75,780","36,47,776",9.77,81.90,-19.00,50,81.00,82.00,"3,150","19,800.00",50,106.95,109.00,"1,100",16.05,109.00,8.91,"32,15,015","18,371","90,114",
,"60,996","29,075","16,08,847",9.57,60.00,-18.10,300,60.15,61.45,50,"19,850.00",50,136.45,138.50,150,24.40,137.40,8.71,"7,35,936","2,916","21,644",
,"1,55,094","49,708","20,76,069",9.61,44.25,-13.55,50,44.10,45.00,"3,000","19,900.00",50,170.05,172.45,200,32.05,173.70,8.91,"5,59,858","-3,925","13,725",
,"54,589","23,234","10,93,778",9.63,31.65,-7.50,50,31.65,32.00,200,"19,950.00",100,208.05,209.90,150,27.90,208.10,8.39,"1,39,151","2,618","5,567",
,"1,06,835","13,089","16,02,179",9.64,22.10,-5.35,"1,000",22.05,22.50,100,"20,000.00",50,247.70,250.10,150,36.25,248.20,8.07,"1,52,135","2,403","8,972",
,"50,948","10,081","10,23,827",9.66,15.00,-2.35,"1,500",15.00,15.50,300,"20,050.00",100,289.70,294.05,50,41.65,293.45,8.18,"12,562",77,590,
,"1,08,466","40,732","12,76,236",9.83,10.55,-0.70,100,10.10,10.50,300,"20,100.00",250,335.20,338.75,50,37.00,338.40,7.56,"11,526",793,"2,037",
,"59,240","30,254","8,35,522",9.84,6.85,-0.60,200,6.90,7.45,50,"20,150.00",500,381.05,388.60,600,46.85,388.30,8.44,"1,312",128,215,
,"1,09,680","40,255","9,40,357",10.14,5.40,0.20,500,4.55,5.40,"1,800","20,200.00",650,428.70,435.15,400,46.30,433.50,-,"2,889",-202,892,
,"29,872","15,234","5,24,850",10.21,3.25,-0.65,"1,650",3.30,4.00,450,"20,250.00",600,455.95,509.30,600,40.55,486.50,9.08,611,154,180,
,"71,600","35,912","6,61,567",10.72,2.70,-0.20,100,2.70,3.15,250,"20,300.00",250,526.00,544.10,50,36.00,530.40,-,961,-14,260,
,"40,940","34,139","3,09,753",11.51,2.60,0.25,"1,000",2.60,2.95,150,"20,350.00","4,150",550.95,610.00,400,9.90,571.60,-,280,138,154,
,"97,819","58,566","5,34,480",12.17,2.45,0.40,"1,700",2.20,2.65,50,"20,400.00",250,626.80,631.00,300,33.65,628.00,-,"12,412","1,435","2,779",
,"27,131","21,433","1,90,129",13.07,2.60,0.85,50,1.90,2.50,150,"20,450.00",700,672.20,685.80,750,-137.80,671.80,-,3,3,3,
,"1,33,500","54,631","6,49,355",13.33,2.00,0.35,100,2.00,2.70,50,"20,500.00",400,725.30,757.70,"1,200",31.80,730.00,-,384,73,296,
,"18,643","12,607","1,43,359",13.94,1.85,0.35,"1,100",1.55,2.50,400,"20,550.00","1,800",743.00,812.55,"1,800",-5.30,703.15,-,-,-,-,
,"25,906","16,966","2,05,048",14.73,1.90,0.50,800,1.60,2.95,100,"20,600.00","1,800",782.95,927.55,"1,000",-,888.00,-,-,-,2,
,"7,806","6,728","51,437",15.30,1.70,0.35,50,1.70,2.50,950,"20,650.00","1,800",829.05,989.45,"1,000",-,-,-,-,-,-,
,"17,551","6,057","1,12,865",15.64,1.45,0.05,100,1.45,2.65,100,"20,700.00","1,800",882.40,"1,047.55","1,000",-,-,-,-,-,-,
,"11,761","8,346","46,073",16.34,1.45,0.15,"1,750",1.45,2.30,200,"20,750.00","1,800",944.60,"1,013.15",250,-,"1,006.00",-,-,-,1,
,"18,105","10,529","92,164",17.39,1.70,0.50,400,1.50,1.70,"4,450","20,800.00","1,800",980.45,"1,152.75","1,000",-,-,-,-,-,-,
,"3,003","2,095","23,072",18.03,1.65,0.45,100,1.25,2.60,"1,200","20,850.00","1,800","1,030.25","1,180.55","1,000",-,-,-,-,-,-,
,"17,770","8,475","68,687",18.10,1.25,0.10,"2,000",1.30,2.00,950,"20,900.00","1,800","1,077.25","1,236.85","1,000",-,-,-,-,-,-,
,"7,897","4,998","49,689",19.03,1.40,0.25,"2,600",1.10,1.90,100,"20,950.00","1,800","1,125.60","1,260.70","1,800",-,-,-,-,-,-,
,"82,034","13,957","3,39,596",19.71,1.50,0.30,"5,800",1.15,1.50,"1,250","21,000.00",400,"1,211.00","1,231.00",50,90.25,"1,215.25",-,15,13,47,
,"11,321","4,927","26,909",19.49,0.95,-0.20,350,0.95,2.60,"1,800","21,050.00","1,800","1,228.95","1,360.05","1,800",-,-,-,-,-,-,
,"25,817","12,992","68,583",20.25,1.00,-0.05,"1,550",1.00,1.25,600,"21,100.00","1,800","1,278.80","1,450.80","1,000",-,-,-,-,-,-,
,"12,218","2,087","35,499",21.12,1.10,0.05,50,1.00,1.15,"1,400","21,150.00","1,800","1,329.15","1,462.65","1,800",-,-,-,-,-,-,
,"25,573","13,359","95,650",21.02,0.80,-0.25,"70,350",0.80,0.85,"66,850","21,200.00",200,"1,403.50","1,459.85",200,-,-,-,-,-,-,
,"6,906","6,906","35,544",22.53,1.15,-23.05,300,1.15,1.20,50,"21,250.00","1,800","1,425.45","1,572.05","1,800",-,-,-,-,-,-,
